id_centro_codigo,centro_tipo_desc_abreviada,centro_tipo_descripcion
70,CP INF-PRI-SEC,"COLEGIO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA"
14,CP INF-PRI,COLEGIO DE EDUCACIÓN INFANTIL Y PRIMARIA
72,CPR INF-PRI-SEC,"CENTRO PRIVADO DE EDUCACIÓN INFANTIL, PRIMARIA Y SECUNDARIA"
15,CPR INF-PRI,CENTRO PRIVADO DE EDUCACIÓN INFANTIL Y PRIMARIA
42,IES,INSTITUTO DE EDUCACIÓN SECUNDARIA
8,EIPR,ESCUELA INFANTIL PRIVADA
13,CPR PRI,CENTRO PRIVADO DE EDUCACIÓN PRIMARIA
73,CPR PRI-SEC,CENTRO PRIVADO DE EDUCACIÓN PRIMARIA Y SECUNDARIA
94,CEXTRAN ESP,CENTRO DOCENTE EXTRANJERO EN ESPAÑA
4,CPR INF,CENTRO PRIVADO DE EDUCACIÓN INFANTIL
20,CP EE,COLEGIO DE EDUCACIÓN ESPECIAL
58,CPR FPE,CENTRO PRIVADO DE FORMACIÓN PROFESIONAL ESPECÍFICA
12,CP PRI,COLEGIO DE EDUCACIÓN PRIMARIA
3,EEI,ESCUELA INFANTIL
103,E ARTE,ESCUELA DE ARTE
36,A. HOSP.,AULA HOSPITALARIA
45,CPR ES,CENTRO PRIVADO DE EDUCACIÓN SECUNDARIA
300,EST ADMI,ESTABLECIMIENTO ADMINISTRATIVO
21,CPR EE,CENTRO PRIVADO DE EDUCACIÓN ESPECIAL
74,CPR INF-SEC,CENTRO PRIVADO DE INFANTIL Y SECUNDARIA
401,UNIVERSIDAD,UNIVERSIDAD
31,CEPA,CENTRO PÚBLICO DE EDUCACIÓN DE PERSONAS ADULTAS
185,E MUN.MUSICA,ESCUELA MUNICIPAL DE MÚSICA
138,CAU PROF MUS,CENTRO AUTORIZADO PROFESIONAL DE MÚSICA
151,CPROF DANZA,CONSERVATORIO PROFESIONAL DE DANZA
132,CSU MUS,CONSERVATORIO SUPERIOR DE MÚSICA
180,ES CANTO,ESCUELA SUPERIOR DE CANTO
171,ES ARTE DRA,ESCUELA SUPERIOR DE ARTE DRAMÁTICO
80,EOI,ESCUELA OFICIAL DE IDIOMAS
32,E.M.EPA,ESCUELA MUNICIPAL DE EDUCACIÓN DE PERSONAS ADULTAS
37,CPRIEPA,CENTRO PRIVADO DE EDUCACIÓN DE PERSONAS ADULTAS
120,ES CRBC,ESCUELA SUPERIOR DE CONSERVACIÓN Y RESTAURACIÓN BIENES CULTURALES
137,CAU EL MUS,CENTRO AUTORIZADO ELEMENTAL DE MÚSICA
131,CPROF MUS,CONSERVATORIO PROFESIONAL DE MÚSICA
187,E MUN. MUS-DANZA,ESCUELA MUNICIPAL DE MÚSICA Y DANZA
6,EEI-CN,ESCUELA  INFANTIL-CASA DE NIÑOS
47,SIES,SECCIÓN DE INSTITUTO DE EDUCACIÓN SECUNDARIA
68,CP IFP,CENTRO PÚBLICO INTEGRADO DE FORMACIÓN PROFESIONAL
416,CAU PROF MUS-DANZA,CENTRO AUTORIZADO PROFESIONAL  DE MÚSICA Y DANZA
34,UFIL,UNIDAD DE FORMACIÓN E INSERCIÓN LABORAL
5,ZNAS.CN.,ZONA CASAS DE NIÑOS
35,CEPA.EP,CENTRO PÚBLICO DE EDUCACIÓN ADULTOS ESTABLECIMIENTOS PENITENCIARIOS
158,CAU PROF DANZA,CENTRO AUTORIZADO PROFESIONAL DE DANZA
49,CP FPE,CENTRO PÚBLICO DE FORMACIÓN PROFESIONAL ESPECÍFICA
16,CIMELPR PRSEC,"CENTRO INTEGRADO DE ENSEÑANZAS ARTÍSTICAS ELEMENTALES Y PROFESIONALES DE MÚSICA, EDUCACIÓN PRIMARIA Y SECUNDARIA"
220,CAU ENS. DEP. GM/SUP,CENTRO AUTORIZADO DE ENSEÑANZAS DEPORTIVAS GRADO MEDIO Y SUPERIOR
105,CAU SUP DISEÑO,CENTRO AUTORIZADO SUPERIOR DE DISEÑO
17,CIMPR SEC,CENTRO INTEGRADO DE ENSEÑANZAS ARTÍSTICAS  PROFESIONALES DE MÚSICA Y EDUCACIÓN SECUNDARIA
152,CSU DANZA,CONSERVATORIO SUPERIOR DE DANZA
39,CREI,CENTRO REGIONAL DE ENSEÑANZAS INTEGRADAS
81,EXEOI,EXTENSION ESCUELA OFICIAL DE IDIOMAS
159,CAU SU DANZA,CENTRO AUTORIZADO SUPERIOR DE DANZA
106,ESC SUP DISEÑO,ESCUELA SUPERIOR DE DISEÑO
104,CAU ARTES PLA-DIS,CENTRO AUTORIZADO DE ARTES PLÁSTICAS Y DISEÑO
172,CAU SU ARTE DRA,CENTRO AUTORIZADO SUPERIOR DE ARTE DRAMÁTICO
305,C. DOC. MILITAR,CENTRO DOCENTE MILITAR
418,A. HOSP. PRIV.,AULA HOSPITALARIA PRIVADA
139,CAU SU MUS,CENTRO AUTORIZADO SUPERIOR DE MÚSICA
414,CAU EL MUS-DANZA,CENTRO AUTORIZADO ELEMENTAL DE MÚSICA Y DANZA
221,CAU ENS.DEP.G.M,CENTRO AUTORIZADO DE ENSEÑANZAS DEPORTIVAS GRADO MEDIO
222,CAU ENS.DEP.G.S.,CENTRO AUTORIZADO DE ENSEÑANZAS DEPORTIVAS GRADO SUPERIOR
223,C. PUB. ENS. DEPORT.,CENTRO PÚBLICO DE ENSEÑANZAS DEPORTIVAS
304,CF EMPLEO,CENTRO DE FORMACIÓN PARA EL EMPLEO
206,EOEP GENERAL,EQUIPO DE ORIENTACIÓN EDUCATIVA Y PSICOPEDAGÓGICA. GENERAL.
205,EOEP ATEN-TEMPR,EQUIPO DE ORIENTACIÓN EDUCATIVA Y PSICOPEDAGÓGICA. ATENCIÓN TEMPRANA
204,EOEP ESPECÍFICO,EQUIPO DE ORIENTACIÓN EDUCATIVA Y PSICOPEDAGÓGICA. ESPECÍFICO
420,ISMIE,INSTITUTO SUPERIOR MADRILEÑO DE INNOVACIÓN EDUCATIVA
413,CFA,CENTRO DE FORMACIÓN AMBIENTAL
38,CET,CENTRO EDUCATIVO-TERAPÉUTICO
412,CTIF,CENTRO TERRITORIAL DE INNOVACIÓN Y FORMACIÓN
419,CFII,CENTRO DE FORMACIÓN PARA INTERCAMBIOS INTERNACIONALES
303,C. DOC. EN EXTRANJ.,CENTRO DOCENTE EN EL EXTRANJERO
